fips,state_name,state_abbr,county_name,county_abbr,unrealiable_bw,num_low_birthweight_births,num_live_births,log_live_births,perc_low_bw,cat_rucc,sociod,rucc1_sociod_eqi_2jan2018_vc,rucc2_sociod_eqi_2jan2018_vc,rucc3_sociod_eqi_2jan2018_vc,rucc4_sociod_eqi_2jan2018_vc,built,rucc1_built_eqi_2jan2018_vc,rucc2_built_eqi_2jan2018_vc,rucc3_built_eqi_2jan2018_vc,rucc4_built_eqi_2jan2018_vc,air,rucc1_air_eqi_2jan2018_vc,rucc2_air_eqi_2jan2018_vc,rucc3_air_eqi_2jan2018_vc,rucc4_air_eqi_2jan2018_vc,land,rucc1_land_eqi_2jan2018_vc,rucc2_land_eqi_2jan2018_vc,rucc3_land_eqi_2jan2018_vc,rucc4_land_eqi_2jan2018_vc,water,rucc1_water_eqi_2jan2018_vc,rucc2_water_eqi_2jan2018_vc,rucc3_water_eqi_2jan2018_vc,rucc4_water_eqi_2jan2018_vc,eqi,rucc1_eqi_2jan2018_vc,rucc2_eqi_2jan2018_vc,rucc3_eqi_2jan2018_vc,rucc4_eqi_2jan2018_vc,sociod_4q,rucc1_sociod_eqi_2jan2018_vc_4,rucc2_sociod_eqi_2jan2018_vc_4,rucc3_sociod_eqi_2jan2018_vc_4,rucc4_sociod_eqi_2jan2018_vc_4,air_4q,rucc1_air_eqi_2jan2018_vc_4,rucc2_air_eqi_2jan2018_vc_4,rucc3_air_eqi_2jan2018_vc_4,rucc4_air_eqi_2jan2018_vc_4,water_4q,rucc1_water_eqi_2jan2018_vc_4,rucc2_water_eqi_2jan2018_vc_4,rucc3_water_eqi_2jan2018_vc_4,rucc4_water_eqi_2jan2018_vc_4,land_4q,rucc1_land_eqi_2jan2018_vc_4,rucc2_land_eqi_2jan2018_vc_4,rucc3_land_eqi_2jan2018_vc_4,rucc4_land_eqi_2jan2018_vc_4,built_4q,rucc1_built_eqi_2jan2018_vc_4,rucc2_built_eqi_2jan2018_vc_4,rucc3_built_eqi_2jan2018_vc_4,rucc4_built_eqi_2jan2018_vc_4,eqi_4q,rucc1_eqi_2jan2018_vc_4,rucc2_eqi_2jan2018_vc_4,rucc3_eqi_2jan2018_vc_4,rucc4_eqi_2jan2018_vc_4,sociod_3q,rucc1_sociod_eqi_2jan2018_vc_3,rucc2_sociod_eqi_2jan2018_vc_3,rucc3_sociod_eqi_2jan2018_vc_3,rucc4_sociod_eqi_2jan2018_vc_3,air_3q,rucc1_air_eqi_2jan2018_vc_3,rucc2_air_eqi_2jan2018_vc_3,rucc3_air_eqi_2jan2018_vc_3,rucc4_air_eqi_2jan2018_vc_3,water_3q,rucc1_water_eqi_2jan2018_vc_3,rucc2_water_eqi_2jan2018_vc_3,rucc3_water_eqi_2jan2018_vc_3,rucc4_water_eqi_2jan2018_vc_3,land_3q,rucc1_land_eqi_2jan2018_vc_3,rucc2_land_eqi_2jan2018_vc_3,rucc3_land_eqi_2jan2018_vc_3,rucc4_land_eqi_2jan2018_vc_3,built_3q,rucc1_built_eqi_2jan2018_vc_3,rucc2_built_eqi_2jan2018_vc_3,rucc3_built_eqi_2jan2018_vc_3,rucc4_built_eqi_2jan2018_vc_3,eqi_3q,rucc1_eqi_2jan2018_vc_3,rucc2_eqi_2jan2018_vc_3,rucc3_eqi_2jan2018_vc_3,rucc4_eqi_2jan2018_vc_3,sociod_5q,rucc1_sociod_eqi_2jan2018_vc_5,rucc2_sociod_eqi_2jan2018_vc_5,rucc3_sociod_eqi_2jan2018_vc_5,rucc4_sociod_eqi_2jan2018_vc_5,air_5q,rucc1_air_eqi_2jan2018_vc_5,rucc2_air_eqi_2jan2018_vc_5,rucc3_air_eqi_2jan2018_vc_5,rucc4_air_eqi_2jan2018_vc_5,water_5q,rucc1_water_eqi_2jan2018_vc_5,rucc2_water_eqi_2jan2018_vc_5,rucc3_water_eqi_2jan2018_vc_5,rucc4_water_eqi_2jan2018_vc_5,land_5q,rucc1_land_eqi_2jan2018_vc_5,rucc2_land_eqi_2jan2018_vc_5,rucc3_land_eqi_2jan2018_vc_5,rucc4_land_eqi_2jan2018_vc_5,built_5q,rucc1_built_eqi_2jan2018_vc_5,rucc2_built_eqi_2jan2018_vc_5,rucc3_built_eqi_2jan2018_vc_5,rucc4_built_eqi_2jan2018_vc_5,eqi_5q,rucc1_eqi_2jan2018_vc_5,rucc2_eqi_2jan2018_vc_5,rucc3_eqi_2jan2018_vc_5,rucc4_eqi_2jan2018_vc_5
01001,Alabama,AL,Autauga County,Autauga,NA,425,4678,8.450625947144124,9.0850790936,1,-0.525909543,0.225516051,NA,NA,NA,1.31299293,1.23954618,NA,NA,NA,-0.366158217,-0.620936155,NA,NA,NA,-0.018733162,-0.08367236,NA,NA,NA,-1.428258181,-1.444195628,NA,NA,NA,0.284681678,0.920560777,NA,NA,NA,1,3,NA,NA,NA,2,1,NA,NA,NA,1,1,NA,NA,NA,2,2,NA,NA,NA,4,4,NA,NA,NA,3,4,NA,NA,NA,1,2,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,2,2,NA,NA,NA,3,3,NA,NA,NA,2,3,NA,NA,NA,2,3,NA,NA,NA,2,2,NA,NA,NA,1,1,NA,NA,NA,3,2,NA,NA,NA,5,5,NA,NA,NA,3,5,NA,NA,NA
01003,Alabama,AL,Baldwin County,Baldwin,NA,1332,15363,9.63971730013066,8.6701816052,1,-0.702319086,0.185723156,NA,NA,NA,0.3186979,-0.289549738,NA,NA,NA,0.713883579,0.509944558,NA,NA,NA,0.401319623,0.381730199,NA,NA,NA,-0.084552139,-0.151325405,NA,NA,NA,0.754969418,-0.02349562,NA,NA,NA,1,3,NA,NA,NA,4,3,NA,NA,NA,2,2,NA,NA,NA,3,3,NA,NA,NA,3,2,NA,NA,NA,4,2,NA,NA,NA,1,2,NA,NA,NA,3,3,NA,NA,NA,2,2,NA,NA,NA,2,2,NA,NA,NA,2,2,NA,NA,NA,3,2,NA,NA,NA,2,3,NA,NA,NA,4,4,NA,NA,NA,2,2,NA,NA,NA,4,4,NA,NA,NA,4,3,NA,NA,NA,4,3,NA,NA,NA
01005,Alabama,AL,Barbour County,Barbour,NA,284,2391,7.779466967458324,11.877875366,3,0.690728128,NA,NA,0.725353658,NA,0.117606871,NA,NA,0.431463122,NA,0.573405206,NA,NA,0.627688289,NA,-0.138942406,NA,NA,-0.200249642,NA,-1.4241153,NA,NA,-1.609440088,NA,-0.005637936,NA,NA,0.919208407,NA,3,NA,NA,4,NA,3,NA,NA,3,NA,1,NA,NA,1,NA,2,NA,NA,2,NA,3,NA,NA,3,NA,2,NA,NA,4,NA,3,NA,NA,3,NA,3,NA,NA,3,NA,1,NA,NA,1,NA,2,NA,NA,2,NA,2,NA,NA,2,NA,2,NA,NA,3,NA,4,NA,NA,4,NA,4,NA,NA,4,NA,1,NA,NA,1,NA,2,NA,NA,2,NA,3,NA,NA,4,NA,3,NA,NA,5,NA
01007,Alabama,AL,Bibb County,Bibb,NA,228,1783,7.48605261786314,12.787436904,1,0.812095702,1.435620427,NA,NA,NA,1.747703195,1.764355659,NA,NA,NA,0.122386821,-0.108812414,NA,NA,NA,-1.236887336,-0.936878622,NA,NA,NA,-1.424622178,-1.438000321,NA,NA,NA,0.304039747,1.634843111,NA,NA,NA,4,4,NA,NA,NA,3,2,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,4,4,NA,NA,NA,3,4,NA,NA,NA,3,3,NA,NA,NA,2,2,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,3,3,NA,NA,NA,2,3,NA,NA,NA,5,5,NA,NA,NA,3,3,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,5,5,NA,NA,NA,3,5,NA,NA,NA
01009,Alabama,AL,Blount County,Blount,NA,381,4954,8.507950610049305,7.6907549455,1,0.431407839,1.084401727,NA,NA,NA,2.393971682,2.345885992,NA,NA,NA,0.224432126,-0.007736236,NA,NA,NA,0.245167181,0.411955625,NA,NA,NA,-1.407843232,-1.42102325,NA,NA,NA,1.141660571,1.987960339,NA,NA,NA,3,4,NA,NA,NA,3,2,NA,NA,NA,1,1,NA,NA,NA,3,3,NA,NA,NA,4,4,NA,NA,NA,4,4,NA,NA,NA,2,3,NA,NA,NA,2,2,NA,NA,NA,1,1,NA,NA,NA,2,2,NA,NA,NA,3,3,NA,NA,NA,3,3,NA,NA,NA,4,5,NA,NA,NA,3,3,NA,NA,NA,1,1,NA,NA,NA,3,4,NA,NA,NA,5,5,NA,NA,NA,5,5,NA,NA,NA
01011,Alabama,AL,Bullock County,Bullock,NA,161,1181,7.074116816197362,13.632514818,3,0.924293756,NA,NA,1.553816199,NA,0.702077329,NA,NA,1.111994505,NA,0.413131952,NA,NA,0.461356133,NA,-0.44311437,NA,NA,-0.421124786,NA,-1.424716949,NA,NA,-1.603551388,NA,0.104423791,NA,NA,1.514754295,NA,4,NA,NA,4,NA,3,NA,NA,3,NA,1,NA,NA,1,NA,2,NA,NA,2,NA,4,NA,NA,4,NA,2,NA,NA,4,NA,3,NA,NA,3,NA,2,NA,NA,3,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,3,NA,NA,3,NA,2,NA,NA,3,NA,5,NA,NA,5,NA,4,NA,NA,4,NA,1,NA,NA,1,NA,2,NA,NA,2,NA,4,NA,NA,5,NA,3,NA,NA,5,NA
01013,Alabama,AL,Butler County,Butler,NA,207,1916,7.557994958530806,10.803757829,3,0.819170475,NA,NA,1.003846288,NA,0.353290945,NA,NA,0.658333182,NA,-0.229969397,NA,NA,-0.24597241,NA,0.082912274,NA,NA,0.101459637,NA,-1.43142581,NA,NA,-1.611809611,NA,-0.298002362,NA,NA,0.869349182,NA,4,NA,NA,4,NA,2,NA,NA,2,NA,1,NA,NA,1,NA,2,NA,NA,2,NA,3,NA,NA,3,NA,2,NA,NA,4,NA,3,NA,NA,3,NA,2,NA,NA,2,NA,1,NA,NA,1,NA,2,NA,NA,2,NA,2,NA,NA,3,NA,2,NA,NA,3,NA,5,NA,NA,5,NA,2,NA,NA,2,NA,1,NA,NA,1,NA,3,NA,NA,3,NA,4,NA,NA,4,NA,2,NA,NA,4,NA
01015,Alabama,AL,Calhoun County,Calhoun,NA,882,10151,9.225327501784431,8.6887991331,1,0.08986073,0.804249704,NA,NA,NA,0.315730959,-0.049766123,NA,NA,NA,-0.250055522,-0.507368743,NA,NA,NA,0.016947431,0.153464466,NA,NA,NA,-1.419918537,-1.435014606,NA,NA,NA,-0.248880327,0.583466649,NA,NA,NA,2,4,NA,NA,NA,2,2,NA,NA,NA,1,1,NA,NA,NA,2,2,NA,NA,NA,3,3,NA,NA,NA,2,3,NA,NA,NA,2,3,NA,NA,NA,2,1,NA,NA,NA,1,1,NA,NA,NA,2,2,NA,NA,NA,2,2,NA,NA,NA,2,3,NA,NA,NA,3,4,NA,NA,NA,2,2,NA,NA,NA,1,1,NA,NA,NA,3,3,NA,NA,NA,4,3,NA,NA,NA,2,4,NA,NA,NA
01017,Alabama,AL,Chambers County,Chambers,NA,331,2786,7.932362154339751,11.880832735,3,0.677756667,NA,NA,0.884193361,NA,0.412296176,NA,NA,0.841698349,NA,0.887424469,NA,NA,0.982573628,NA,-0.386748105,NA,NA,-0.398287624,NA,-1.4113276,NA,NA,-1.599662781,NA,0.269483507,NA,NA,1.290441394,NA,3,NA,NA,4,NA,4,NA,NA,4,NA,1,NA,NA,1,NA,2,NA,NA,2,NA,3,NA,NA,4,NA,3,NA,NA,4,NA,3,NA,NA,3,NA,3,NA,NA,3,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,2,NA,NA,3,NA,2,NA,NA,3,NA,4,NA,NA,5,NA,5,NA,NA,5,NA,1,NA,NA,1,NA,2,NA,NA,2,NA,4,NA,NA,4,NA,3,NA,NA,5,NA
01019,Alabama,AL,Cherokee County,Cherokee,NA,147,1643,7.404279118037268,8.9470480828,3,0.825951397,NA,NA,0.420819879,NA,0.358172804,NA,NA,0.885525048,NA,0.451381773,NA,NA,0.51169461,NA,0.518076897,NA,NA,0.34615317,NA,-1.415982485,NA,NA,-1.590718031,NA,0.206555888,NA,NA,1.040757656,NA,4,NA,NA,3,NA,3,NA,NA,3,NA,1,NA,NA,1,NA,3,NA,NA,3,NA,3,NA,NA,4,NA,3,NA,NA,4,NA,3,NA,NA,3,NA,3,NA,NA,3,NA,1,NA,NA,1,NA,2,NA,NA,2,NA,2,NA,NA,3,NA,2,NA,NA,3,NA,5,NA,NA,4,NA,4,NA,NA,4,NA,1,NA,NA,1,NA,4,NA,NA,3,NA,4,NA,NA,5,NA,3,NA,NA,5,NA
