term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,edf,ref.df
(Intercept),0.04,0.044,-73.48,0,0.036,0.043,1,NA,NA
eqi,0.977,0.004,-5.465,0,0.969,0.985,1,NA,NA
cat_ruccless urbanized,0.976,0.014,-1.718,0.086,0.949,1.003,1,NA,NA
cat_ruccthinly populated,0.97,0.032,-0.951,0.342,0.911,1.032,1,NA,NA
cat_ruccnonmetropolitan-urbanized,0.943,0.014,-4.083,0,0.916,0.97,1,NA,NA
perc_age1849,1.01,0.001,11.461,0,1.008,1.012,1,NA,NA
perc_smokers,1.017,0.001,24.602,0,1.016,1.019,1,NA,NA
(Intercept),0.049,0.041,-73.715,0,0.045,0.053,2,NA,NA
water,0.978,0.003,-8.018,0,0.973,0.984,2,NA,NA
air,1.036,0.003,11.078,0,1.029,1.042,2,NA,NA
land,0.965,0.003,-10.815,0,0.959,0.972,2,NA,NA
built,0.952,0.005,-10.225,0,0.944,0.961,2,NA,NA
sociod,1.064,0.004,14.25,0,1.055,1.073,2,NA,NA
cat_ruccless urbanized,0.924,0.014,-5.817,0,0.9,0.949,2,NA,NA
cat_ruccthinly populated,0.914,0.029,-3.11,0.002,0.863,0.967,2,NA,NA
cat_ruccnonmetropolitan-urbanized,0.905,0.014,-7.338,0,0.882,0.93,2,NA,NA
perc_age1849,1.011,0.001,13.378,0,1.01,1.013,2,NA,NA
perc_smokers,1.008,0.001,8.779,0,1.006,1.009,2,NA,NA
s(eqi),NA,NA,6.613261382720868,0,NA,NA,3,5.669211868463706,6.856119833944667
s(perc_rural),NA,NA,32.74250808742206,0,NA,NA,3,5.112953855415674,6.151569070037873
s(perc_age1849),NA,NA,15.75659530861099,0,NA,NA,3,6.748198056222718,7.82472256659836
s(perc_smokers),NA,NA,155.90643084388267,0,NA,NA,3,4.527258045016278,5.556733362639248
s(water),NA,NA,34.417600016599394,0,NA,NA,4,8.975972841920315,8.999502530704728
s(air),NA,NA,19.78470357781317,0,NA,NA,4,7.533595528595744,8.463160945702109
s(land),NA,NA,11.428751325936304,0,NA,NA,4,7.1917098198359515,8.196901249531088
s(built),NA,NA,14.891363606505386,0,NA,NA,4,8.634452337274801,8.95092384501451
s(sociod),NA,NA,47.401687805200304,0,NA,NA,4,8.392123211748606,8.839452085802309
s(perc_rural),NA,NA,38.77900589620888,0,NA,NA,4,4.574880495660674,5.581558907984014
s(perc_age1849),NA,NA,33.92887097240847,0,NA,NA,4,6.34836300566917,7.492997525050333
s(perc_smokers),NA,NA,33.870378999569155,0,NA,NA,4,4.081701156431945,5.0888949969196915
