term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,edf,ref.df
(Intercept),0.026,0.276,-13.175,0,0.015,0.045,1r,NA,NA
eqi,6.365,0.301,6.15,0,3.533,11.492,1r,NA,NA
perc_white,1.008,0.003,3.005,0.003,1.003,1.014,1r,NA,NA
perc_black,1.018,0.003,6.536,0,1.013,1.024,1r,NA,NA
perc_AIAN,1.007,0.003,2.564,0.01,1.002,1.013,1r,NA,NA
perc_asian,1.006,0.003,2.15,0.032,1.001,1.012,1r,NA,NA
perc_islander,1.031,0.008,3.997,0,1.016,1.047,1r,NA,NA
perc_hisp,1.009,0.003,3.561,0,1.004,1.015,1r,NA,NA
cat_ruccless urbanized,1.003,0.009,0.336,0.737,0.985,1.021,1r,NA,NA
cat_ruccthinly populated,1.003,0.02,0.168,0.866,0.965,1.043,1r,NA,NA
cat_ruccnonmetropolitan-urbanized,0.988,0.009,-1.285,0.199,0.971,1.006,1r,NA,NA
perc_age1849,0.999,0.001,-1.49,0.136,0.998,1,1r,NA,NA
perc_smokers,1.012,0.001,23.085,0,1.011,1.013,1r,NA,NA
eqi:perc_white,0.981,0.003,-6.166,0,0.975,0.987,1r,NA,NA
eqi:perc_black,0.981,0.003,-6.097,0,0.976,0.987,1r,NA,NA
eqi:perc_AIAN,0.982,0.003,-5.601,0,0.976,0.989,1r,NA,NA
eqi:perc_asian,0.983,0.003,-5.417,0,0.977,0.989,1r,NA,NA
eqi:perc_islander,0.928,0.01,-7.577,0,0.911,0.946,1r,NA,NA
eqi:perc_hisp,0.982,0.003,-6.324,0,0.976,0.987,1r,NA,NA
(Intercept),0.032,0.274,-12.635,0,0.018,0.054,2r.a,NA,NA
air,1.671,0.278,1.848,0.065,0.97,2.885,2r.a,NA,NA
perc_white,1.007,0.003,2.462,0.014,1.001,1.012,2r.a,NA,NA
perc_black,1.016,0.003,5.945,0,1.011,1.022,2r.a,NA,NA
perc_AIAN,1.006,0.003,2.028,0.043,1,1.012,2r.a,NA,NA
perc_asian,1.007,0.003,2.362,0.018,1.001,1.012,2r.a,NA,NA
perc_islander,0.98,0.009,-2.159,0.031,0.962,0.998,2r.a,NA,NA
perc_hisp,1.008,0.003,3.032,0.002,1.003,1.013,2r.a,NA,NA
water,0.996,0.002,-2.004,0.045,0.992,1,2r.a,NA,NA
land,0.996,0.002,-1.506,0.132,0.992,1.001,2r.a,NA,NA
built,0.979,0.003,-6.3,0,0.972,0.985,2r.a,NA,NA
sociod,1.012,0.004,3.067,0.002,1.004,1.02,2r.a,NA,NA
cat_ruccless urbanized,0.988,0.01,-1.273,0.203,0.969,1.007,2r.a,NA,NA
cat_ruccthinly populated,0.988,0.02,-0.622,0.534,0.95,1.027,2r.a,NA,NA
cat_ruccnonmetropolitan-urbanized,0.979,0.009,-2.214,0.027,0.962,0.998,2r.a,NA,NA
perc_age1849,0.999,0.001,-0.857,0.392,0.998,1.001,2r.a,NA,NA
perc_smokers,1.011,0.001,16.619,0,1.009,1.012,2r.a,NA,NA
air:perc_white,0.995,0.003,-1.796,0.073,0.989,1,2r.a,NA,NA
air:perc_black,0.994,0.003,-1.942,0.052,0.989,1,2r.a,NA,NA
air:perc_AIAN,0.995,0.003,-1.616,0.106,0.99,1.001,2r.a,NA,NA
air:perc_asian,0.996,0.003,-1.497,0.135,0.99,1.001,2r.a,NA,NA
air:perc_islander,0.946,0.009,-6.453,0,0.93,0.962,2r.a,NA,NA
air:perc_hisp,0.995,0.003,-1.692,0.091,0.99,1.001,2r.a,NA,NA
(Intercept),0.021,0.313,-12.395,0,0.011,0.038,2r.b,NA,NA
built,2.896,0.346,3.076,0.002,1.472,5.703,2r.b,NA,NA
perc_white,1.011,0.003,3.559,0,1.005,1.017,2r.b,NA,NA
perc_black,1.021,0.003,6.541,0,1.014,1.027,2r.b,NA,NA
perc_AIAN,1.009,0.003,2.779,0.005,1.003,1.016,2r.b,NA,NA
perc_asian,1.012,0.003,3.61,0,1.005,1.018,2r.b,NA,NA
perc_islander,1.032,0.01,3.353,0.001,1.013,1.052,2r.b,NA,NA
perc_hisp,1.013,0.003,4.178,0,1.007,1.019,2r.b,NA,NA
air,1.013,0.002,5.436,0,1.008,1.017,2r.b,NA,NA
land,0.994,0.002,-2.622,0.009,0.989,0.998,2r.b,NA,NA
water,0.995,0.002,-2.55,0.011,0.991,0.999,2r.b,NA,NA
sociod,1.017,0.004,4.332,0,1.009,1.025,2r.b,NA,NA
cat_ruccless urbanized,0.986,0.01,-1.48,0.139,0.967,1.005,2r.b,NA,NA
cat_ruccthinly populated,0.988,0.02,-0.58,0.562,0.95,1.028,2r.b,NA,NA
cat_ruccnonmetropolitan-urbanized,0.977,0.009,-2.481,0.013,0.959,0.995,2r.b,NA,NA
perc_age1849,0.999,0.001,-1.147,0.252,0.998,1.001,2r.b,NA,NA
perc_smokers,1.01,0.001,15.65,0,1.009,1.011,2r.b,NA,NA
built:perc_white,0.989,0.004,-3.076,0.002,0.982,0.996,2r.b,NA,NA
built:perc_black,0.989,0.003,-3.226,0.001,0.982,0.996,2r.b,NA,NA
built:perc_AIAN,0.99,0.004,-2.73,0.006,0.983,0.997,2r.b,NA,NA
built:perc_asian,0.988,0.004,-3.313,0.001,0.981,0.995,2r.b,NA,NA
built:perc_islander,0.984,0.013,-1.211,0.226,0.96,1.01,2r.b,NA,NA
built:perc_hisp,0.989,0.003,-3.345,0.001,0.982,0.995,2r.b,NA,NA
(Intercept),0.052,0.268,-10.983,0,0.031,0.089,2r.l,NA,NA
land,15.4,0.247,11.074,0,9.504,25.018,2r.l,NA,NA
perc_white,1.001,0.003,0.47,0.638,0.996,1.007,2r.l,NA,NA
perc_black,1.011,0.003,4.014,0,1.005,1.016,2r.l,NA,NA
