term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,edf,ref.df
(Intercept),0.043,0.055,-56.884,0,0.039,0.048,1w,NA,NA
eqi,0.989,0.005,-2.266,0.024,0.979,0.998,1w,NA,NA
cat_ruccless urbanized,0.954,0.017,-2.838,0.005,0.924,0.986,1w,NA,NA
cat_ruccthinly populated,0.941,0.039,-1.578,0.115,0.871,1.014,1w,NA,NA
cat_ruccnonmetropolitan-urbanized,0.945,0.016,-3.494,0,0.915,0.975,1w,NA,NA
perc_age1849,1.008,0.001,7.273,0,1.006,1.01,1w,NA,NA
perc_smokers,1.016,0.001,20.746,0,1.015,1.018,1w,NA,NA
(Intercept),0.051,0.05,-59.559,0,0.046,0.056,2w,NA,NA
water,0.944,0.006,-9.626,0,0.933,0.955,2w,NA,NA
air,1.033,0.003,9.5,0,1.026,1.041,2w,NA,NA
land,0.958,0.004,-10.296,0,0.95,0.966,2w,NA,NA
built,0.955,0.005,-8.342,0,0.945,0.966,2w,NA,NA
sociod,1.041,0.005,8.403,0,1.032,1.051,2w,NA,NA
cat_ruccless urbanized,0.914,0.015,-5.801,0,0.887,0.942,2w,NA,NA
cat_ruccthinly populated,0.894,0.035,-3.197,0.001,0.835,0.957,2w,NA,NA
cat_ruccnonmetropolitan-urbanized,0.915,0.015,-5.886,0,0.888,0.942,2w,NA,NA
perc_age1849,1.01,0.001,9.764,0,1.008,1.012,2w,NA,NA
perc_smokers,1.008,0.001,9.096,0,1.007,1.01,2w,NA,NA
s(eqi),NA,NA,5.965523759315167,2.721273274497449e-7,NA,NA,3w,5.997794459534062,7.1252700281111
s(perc_rural),NA,NA,26.026146860847597,0,NA,NA,3w,4.372567308713408,5.3336197069985305
s(perc_age1849),NA,NA,9.410415161585073,0,NA,NA,3w,7.542060397195754,8.350331962473378
s(perc_smokers),NA,NA,93.99561403668561,0,NA,NA,3w,5.864300169893483,6.8914669538178925
s(water),NA,NA,18.660001519245306,0,NA,NA,4w,8.456981229463384,8.906555490564946
s(air),NA,NA,13.061310249951166,0,NA,NA,4w,3.9129341082443934,4.929021792585154
s(land),NA,NA,16.92625270976334,0,NA,NA,4w,8.502408839691931,8.914823242018986
s(built),NA,NA,21.62012307111365,0,NA,NA,4w,2.455607507778387,3.197742645772312
s(sociod),NA,NA,26.730152123219323,0,NA,NA,4w,8.507206627727978,8.894145656027368
s(perc_rural),NA,NA,29.530236670722267,0,NA,NA,4w,4.639606921739375,5.653437707237741
s(perc_age1849),NA,NA,13.681361000292434,0,NA,NA,4w,6.655242298363955,7.670476722205574
s(perc_smokers),NA,NA,20.956189195713847,0,NA,NA,4w,7.637512198682828,8.382136759418016
