term,edf,ref.df,statistic,p.value,model
s(eqi),5.669211868463706,6.856119833944667,6.613261382720868,0,3
s(perc_rural),5.112953855415674,6.151569070037873,32.74250808742206,0,3
s(perc_age1849),6.748198056222718,7.82472256659836,15.75659530861099,0,3
s(perc_smokers),4.527258045016278,5.556733362639248,155.90643084388267,0,3
s(water),8.975972841920315,8.999502530704728,34.417600016599394,0,4
s(air),7.533595528595744,8.463160945702109,19.78470357781317,0,4
s(land),7.1917098198359515,8.196901249531088,11.428751325936304,0,4
s(built),8.634452337274801,8.95092384501451,14.891363606505386,0,4
s(sociod),8.392123211748606,8.839452085802309,47.401687805200304,0,4
s(perc_rural),4.574880495660674,5.581558907984014,38.77900589620888,0,4
s(perc_age1849),6.34836300566917,7.492997525050333,33.92887097240847,0,4
s(perc_smokers),4.081701156431945,5.0888949969196915,33.870378999569155,0,4
