term,edf,ref.df,statistic,p.value,model
s(eqi):perc_white,4.074001621880069,4.910982657642062,8.990655977529078,0,3r
s(eqi):perc_black,8.828886716662932,9.093624539158059,19.432187765550484,0,3r
s(eqi):perc_AIAN,2.000959735035818,2.0019076492842354,18.429191199401178,0,3r
s(eqi):perc_asian,2.0006546308930826,2.001282482896977,26.389836622130314,0,3r
s(eqi):perc_islander,8.501603352253552,9.332473826396562,18.619672541915293,0,3r
s(eqi):perc_hisp,7.937408269875471,8.837233065004476,27.499992834429904,0,3r
s(perc_rural),6.084473439590849,7.162737427007792,6.054458913167618,9.466917860745383e-7,3r
s(perc_age1849),7.7780570845252655,8.569340758447844,13.287163454487638,0,3r
s(perc_smokers),7.16124371830253,7.9922140081122235,74.6254129055537,0,3r
s(air):perc_white,8.144701302505569,9.100226803644667,11.279726495705603,0,3r.a
s(air):perc_black,7.950351818491366,8.496683690351775,17.584859049083448,0,3r.a
s(air):perc_AIAN,2.266865362405604,2.4883084947281757,19.689955550428113,0,3r.a
s(air):perc_asian,4.177857050616742,4.9390099043009705,19.307880159948805,0,3r.a
s(air):perc_islander,8.864789781040681,9.407083009081813,14.334721614392954,0,3r.a
s(air):perc_hisp,2.002127689553327,2.004125239910687,44.42616031267607,0,3r.a
s(water),8.93624784749337,8.99784214150458,17.422563462245716,0,3r.a
s(land),8.56436580411679,8.938318956462552,15.403509590490312,0,3r.a
s(built),2.5780272479356934,3.349867810051868,14.39219316866022,0,3r.a
s(sociod),8.741971328454012,8.967000755713848,17.415580110040164,0,3r.a
s(perc_rural),6.211686924355194,7.2974977771420155,7.06877620726208,0,3r.a
s(perc_age1849),7.493522062558959,8.397604707230501,10.403170760576037,0,3r.a
s(perc_smokers),7.109244870569043,7.965776171696677,40.22811931611119,0,3r.a
s(built):perc_white,2.0107160541086437,2.021028584552298,15.304656532227915,4.1653168147970376e-7,3r.b
s(built):perc_black,4.61018386248742,5.524046611412623,21.08192740785329,0,3r.b
s(built):perc_AIAN,4.943218954697673,5.802128594515337,6.6541968939017435,1.6638466180385336e-6,3r.b
s(built):perc_asian,9.343103974481034,9.738895702017086,8.271532546918063,0,3r.b
s(built):perc_islander,8.960054981680235,9.52381036393698,8.995085249089874,0,3r.b
s(built):perc_hisp,7.712114720255628,8.624002129615386,11.147709261017239,0,3r.b
s(water),8.970794039019239,8.9992617384783955,21.377786623488834,0,3r.b
s(air),6.673772624419265,7.81703644181924,7.667346340697912,0,3r.b
s(land),8.29954572745643,8.854441863105887,16.597516166857325,0,3r.b
s(sociod),8.655251098375015,8.943966376152122,14.331543331226495,0,3r.b
s(perc_rural),1.830842319937443,2.317003181534068,10.675544559068186,1.088231027424058e-5,3r.b
s(perc_age1849),7.644209713489225,8.494628922898714,9.429298049996694,0,3r.b
s(perc_smokers),6.1993738022034695,7.209597270015456,48.2700597939843,0,3r.b
s(land):perc_white,9.506356709392985,9.87787293158685,17.754958765447935,0,3r.l
s(land):perc_black,7.436195671902421,8.470303267650042,17.342764737368643,0,3r.l
s(land):perc_AIAN,3.998998069605254,4.657352844676096,9.881784929274039,0,3r.l
s(land):perc_asian,4.427139241655328,5.302320743144863,18.351770557394744,0,3r.l
s(land):perc_islander,9.650682424214628,9.909362574392024,10.712253350075935,0,3r.l
s(land):perc_hisp,8.81365096342446,9.451237895194835,11.97255492391409,0,3r.l
s(water),8.933338293034598,8.997315936280955,23.217855241484305,0,3r.l
s(air),5.589160615399566,6.809582576764225,10.160857797764502,0,3r.l
s(built),7.977785691270461,8.684751553077806,6.9780703538320425,0,3r.l
s(sociod),8.782812321119112,8.975300316723649,16.550702321710627,0,3r.l
