term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
(Intercept),0.026,0.276,-13.175,0,0.015,0.045,1r
eqi,6.365,0.301,6.15,0,3.533,11.492,1r
perc_white,1.008,0.003,3.005,0.003,1.003,1.014,1r
perc_black,1.018,0.003,6.536,0,1.013,1.024,1r
perc_AIAN,1.007,0.003,2.564,0.01,1.002,1.013,1r
perc_asian,1.006,0.003,2.15,0.032,1.001,1.012,1r
perc_islander,1.031,0.008,3.997,0,1.016,1.047,1r
perc_hisp,1.009,0.003,3.561,0,1.004,1.015,1r
cat_ruccless urbanized,1.003,0.009,0.336,0.737,0.985,1.021,1r
cat_ruccthinly populated,1.003,0.02,0.168,0.866,0.965,1.043,1r
cat_ruccnonmetropolitan-urbanized,0.988,0.009,-1.285,0.199,0.971,1.006,1r
perc_age1849,0.999,0.001,-1.49,0.136,0.998,1,1r
perc_smokers,1.012,0.001,23.085,0,1.011,1.013,1r
eqi:perc_white,0.981,0.003,-6.166,0,0.975,0.987,1r
eqi:perc_black,0.981,0.003,-6.097,0,0.976,0.987,1r
eqi:perc_AIAN,0.982,0.003,-5.601,0,0.976,0.989,1r
eqi:perc_asian,0.983,0.003,-5.417,0,0.977,0.989,1r
eqi:perc_islander,0.928,0.01,-7.577,0,0.911,0.946,1r
eqi:perc_hisp,0.982,0.003,-6.324,0,0.976,0.987,1r
(Intercept),0.023,0.281,-13.436,0,0.013,0.04,2r.w
water,2.464,0.271,3.324,0.001,1.448,4.193,2r.w
perc_white,1.01,0.003,3.539,0,1.004,1.016,2r.w
perc_black,1.019,0.003,6.861,0,1.014,1.025,2r.w
perc_AIAN,1.008,0.003,2.713,0.007,1.002,1.014,2r.w
perc_asian,1.01,0.003,3.411,0.001,1.004,1.016,2r.w
perc_islander,1.036,0.008,4.256,0,1.019,1.053,2r.w
perc_hisp,1.011,0.003,4.169,0,1.006,1.017,2r.w
air,1.009,0.002,3.857,0,1.004,1.014,2r.w
land,0.993,0.002,-3.094,0.002,0.988,0.997,2r.w
built,0.98,0.004,-5.87,0,0.973,0.986,2r.w
sociod,1.016,0.004,4.034,0,1.008,1.023,2r.w
cat_ruccless urbanized,0.987,0.01,-1.385,0.166,0.968,1.006,2r.w
cat_ruccthinly populated,0.989,0.02,-0.551,0.581,0.951,1.028,2r.w
cat_ruccnonmetropolitan-urbanized,0.976,0.009,-2.615,0.009,0.958,0.994,2r.w
perc_age1849,1,0.001,-0.57,0.569,0.998,1.001,2r.w
perc_smokers,1.01,0.001,16.161,0,1.009,1.012,2r.w
water:perc_white,0.991,0.003,-3.35,0.001,0.985,0.996,2r.w
water:perc_black,0.991,0.003,-3.11,0.002,0.986,0.997,2r.w
water:perc_AIAN,0.993,0.003,-2.667,0.008,0.987,0.998,2r.w
water:perc_asian,0.991,0.003,-3.077,0.002,0.986,0.997,2r.w
water:perc_islander,0.972,0.011,-2.678,0.007,0.952,0.992,2r.w
water:perc_hisp,0.991,0.003,-3.611,0,0.985,0.996,2r.w
(Intercept),0.032,0.274,-12.635,0,0.018,0.054,2r.a
air,1.671,0.278,1.848,0.065,0.97,2.885,2r.a
perc_white,1.007,0.003,2.462,0.014,1.001,1.012,2r.a
perc_black,1.016,0.003,5.945,0,1.011,1.022,2r.a
perc_AIAN,1.006,0.003,2.028,0.043,1,1.012,2r.a
perc_asian,1.007,0.003,2.362,0.018,1.001,1.012,2r.a
perc_islander,0.98,0.009,-2.159,0.031,0.962,0.998,2r.a
perc_hisp,1.008,0.003,3.032,0.002,1.003,1.013,2r.a
water,0.996,0.002,-2.004,0.045,0.992,1,2r.a
land,0.996,0.002,-1.506,0.132,0.992,1.001,2r.a
built,0.979,0.003,-6.3,0,0.972,0.985,2r.a
sociod,1.012,0.004,3.067,0.002,1.004,1.02,2r.a
cat_ruccless urbanized,0.988,0.01,-1.273,0.203,0.969,1.007,2r.a
cat_ruccthinly populated,0.988,0.02,-0.622,0.534,0.95,1.027,2r.a
cat_ruccnonmetropolitan-urbanized,0.979,0.009,-2.214,0.027,0.962,0.998,2r.a
perc_age1849,0.999,0.001,-0.857,0.392,0.998,1.001,2r.a
perc_smokers,1.011,0.001,16.619,0,1.009,1.012,2r.a
air:perc_white,0.995,0.003,-1.796,0.073,0.989,1,2r.a
air:perc_black,0.994,0.003,-1.942,0.052,0.989,1,2r.a
air:perc_AIAN,0.995,0.003,-1.616,0.106,0.99,1.001,2r.a
air:perc_asian,0.996,0.003,-1.497,0.135,0.99,1.001,2r.a
air:perc_islander,0.946,0.009,-6.453,0,0.93,0.962,2r.a
air:perc_hisp,0.995,0.003,-1.692,0.091,0.99,1.001,2r.a
(Intercept),0.052,0.268,-10.983,0,0.031,0.089,2r.l
land,15.4,0.247,11.074,0,9.504,25.018,2r.l
perc_white,1.001,0.003,0.47,0.638,0.996,1.007,2r.l
perc_black,1.011,0.003,4.014,0,1.005,1.016,2r.l
perc_AIAN,1,0.003,-0.092,0.927,0.994,1.005,2r.l
perc_asian,1.002,0.003,0.639,0.523,0.996,1.007,2r.l
perc_islander,1.008,0.008,1.073,0.283,0.993,1.023,2r.l
perc_hisp,1.002,0.003,0.909,0.364,0.997,1.007,2r.l
air,1.012,0.002,5.515,0,1.008,1.017,2r.l
water,0.993,0.002,-3.438,0.001,0.99,0.997,2r.l
built,0.975,0.003,-7.776,0,0.968,0.981,2r.l
sociod,1.022,0.004,5.748,0,1.014,1.029,2r.l
cat_ruccless urbanized,0.983,0.009,-1.87,0.062,0.965,1.001,2r.l
cat_ruccthinly populated,0.977,0.019,-1.244,0.214,0.941,1.014,2r.l
cat_ruccnonmetropolitan-urbanized,0.974,0.009,-2.915,0.004,0.957,0.991,2r.l
perc_age1849,1.001,0.001,1.283,0.2,1,1.002,2r.l
perc_smokers,1.01,0.001,16.316,0,1.009,1.011,2r.l
land:perc_white,0.972,0.003,-11.275,0,0.967,0.977,2r.l
land:perc_black,0.974,0.003,-10.68,0,0.969,0.978,2r.l
land:perc_AIAN,0.973,0.003,-10.663,0,0.968,0.978,2r.l
land:perc_asian,0.973,0.003,-10.546,0,0.969,0.978,2r.l
land:perc_islander,0.943,0.009,-6.7,0,0.927,0.959,2r.l
land:perc_hisp,0.973,0.002,-11.262,0,0.969,0.978,2r.l
(Intercept),0.021,0.313,-12.395,0,0.011,0.038,2r.b
built,2.896,0.346,3.076,0.002,1.472,5.703,2r.b
perc_white,1.011,0.003,3.559,0,1.005,1.017,2r.b
perc_black,1.021,0.003,6.541,0,1.014,1.027,2r.b
perc_AIAN,1.009,0.003,2.779,0.005,1.003,1.016,2r.b
perc_asian,1.012,0.003,3.61,0,1.005,1.018,2r.b
perc_islander,1.032,0.01,3.353,0.001,1.013,1.052,2r.b
perc_hisp,1.013,0.003,4.178,0,1.007,1.019,2r.b
air,1.013,0.002,5.436,0,1.008,1.017,2r.b
land,0.994,0.002,-2.622,0.009,0.989,0.998,2r.b
water,0.995,0.002,-2.55,0.011,0.991,0.999,2r.b
sociod,1.017,0.004,4.332,0,1.009,1.025,2r.b
cat_ruccless urbanized,0.986,0.01,-1.48,0.139,0.967,1.005,2r.b
cat_ruccthinly populated,0.988,0.02,-0.58,0.562,0.95,1.028,2r.b
cat_ruccnonmetropolitan-urbanized,0.977,0.009,-2.481,0.013,0.959,0.995,2r.b
perc_age1849,0.999,0.001,-1.147,0.252,0.998,1.001,2r.b
perc_smokers,1.01,0.001,15.65,0,1.009,1.011,2r.b
built:perc_white,0.989,0.004,-3.076,0.002,0.982,0.996,2r.b
built:perc_black,0.989,0.003,-3.226,0.001,0.982,0.996,2r.b
built:perc_AIAN,0.99,0.004,-2.73,0.006,0.983,0.997,2r.b
built:perc_asian,0.988,0.004,-3.313,0.001,0.981,0.995,2r.b
built:perc_islander,0.984,0.013,-1.211,0.226,0.96,1.01,2r.b
built:perc_hisp,0.989,0.003,-3.345,0.001,0.982,0.995,2r.b
(Intercept),0.033,0.343,-9.969,0,0.017,0.064,2r.s
sociod,0.986,0.226,-0.063,0.95,0.632,1.536,2r.s
perc_white,1.006,0.003,1.826,0.068,1,1.013,2r.s
perc_black,1.016,0.003,4.607,0,1.009,1.023,2r.s
perc_AIAN,1.003,0.004,0.775,0.439,0.996,1.01,2r.s
perc_asian,0.999,0.004,-0.347,0.728,0.992,1.006,2r.s
perc_islander,0.976,0.014,-1.714,0.087,0.95,1.003,2r.s
perc_hisp,1.008,0.003,2.269,0.023,1.001,1.014,2r.s
air,1.012,0.002,5.331,0,1.008,1.017,2r.s
land,0.991,0.002,-3.663,0,0.987,0.996,2r.s
built,0.982,0.003,-5.174,0,0.976,0.989,2r.s
water,0.995,0.002,-2.493,0.013,0.991,0.999,2r.s
cat_ruccless urbanized,0.976,0.01,-2.433,0.015,0.957,0.995,2r.s
cat_ruccthinly populated,0.967,0.02,-1.628,0.104,0.93,1.007,2r.s
cat_ruccnonmetropolitan-urbanized,0.974,0.009,-2.821,0.005,0.956,0.992,2r.s
perc_age1849,1,0.001,0.507,0.612,0.999,1.002,2r.s
perc_smokers,1.01,0.001,15.061,0,1.009,1.011,2r.s
sociod:perc_white,1,0.002,0.13,0.896,0.996,1.005,2r.s
sociod:perc_black,1.001,0.002,0.299,0.765,0.996,1.005,2r.s
sociod:perc_AIAN,1.003,0.002,1.168,0.243,0.998,1.007,2r.s
sociod:perc_asian,0.999,0.002,-0.606,0.545,0.994,1.003,2r.s
sociod:perc_islander,0.977,0.007,-3.188,0.001,0.963,0.991,2r.s
sociod:perc_hisp,1,0.002,0.083,0.934,0.996,1.005,2r.s
