term,edf,ref.df,statistic,p.value,model
s(eqi):cat_ruccmetropolitan-urbanized,8.442144314484553,8.876990270049786,8.833750052169739,0,3cr
s(eqi):cat_ruccless urbanized,2.714998099741633,3.451493214971184,3.9965701819065753,0.005502508369099546,3cr
s(eqi):cat_ruccthinly populated,1.3515088202678778,1.6348438586907685,4.722091589429878,0.030557629901533545,3cr
s(eqi):cat_ruccnonmetropolitan-urbanized,7.178188443721511,8.091418533574046,1.6849998648184104,0.09678237313879012,3cr
s(perc_age1849),6.237980460466925,7.378448309780627,31.410349658116225,0,3cr
s(perc_smokers),4.656619581077686,5.6909596013334545,116.8404622049651,0,3cr
s(air):cat_ruccmetropolitan-urbanized,7.6590731990110825,8.533390611084432,19.59416903836508,0,3cr.a
s(air):cat_ruccless urbanized,2.527908534247823,3.21146578430242,3.9921395479917354,0.00666713484460546,3cr.a
s(air):cat_ruccthinly populated,1.0000966630652566,1.0001931953989995,11.69574197731106,6.358040008672128e-4,3cr.a
s(air):cat_ruccnonmetropolitan-urbanized,4.8274603376962295,5.832061644523116,4.469194240317934,3.2602356562916324e-4,3cr.a
s(water),8.988085237835078,8.999821936795456,38.67203931151346,0,3cr.a
s(land),7.529959562503765,8.44150359976125,22.549429099458482,0,3cr.a
s(built),8.666062949134929,8.958455708052531,19.69541157912197,0,3cr.a
s(sociod),8.375500942047797,8.83141505795879,31.27148134189846,0,3cr.a
s(perc_age1849),6.508716267404562,7.628337508458503,57.29243735332902,0,3cr.a
s(perc_smokers),3.8708475895926573,4.857488359387865,27.60474154966685,0,3cr.a
s(built):cat_ruccmetropolitan-urbanized,5.038287815072196,6.111961610540865,28.009856720935986,0,3cr.b
s(built):cat_ruccless urbanized,1.0000770987226921,1.000153902844055,5.604970241983787,0.017980167599991326,3cr.b
s(built):cat_ruccthinly populated,1.0001965890814584,1.0003927728559574,0.2220660108980325,0.6377296843709004,3cr.b
s(built):cat_ruccnonmetropolitan-urbanized,5.719314637363121,6.769049136683809,1.9311258069535726,0.05322153452963985,3cr.b
s(water),8.997205278254857,8.999956901271233,36.10606761923006,0,3cr.b
s(air),7.561626937247462,8.478767057422125,22.996373525034997,0,3cr.b
s(land),7.596987461461827,8.485560481414748,22.658933796420623,0,3cr.b
s(sociod),8.361990895869733,8.825637412029927,30.013862494347208,0,3cr.b
s(perc_age1849),6.0870374633944895,7.2507033478504335,58.20629527572902,0,3cr.b
s(perc_smokers),3.7455327935822273,4.717433483774894,27.563788998465057,0,3cr.b
s(land):cat_ruccmetropolitan-urbanized,7.683458920907446,8.536688722618706,23.559551703642214,0,3cr.l
s(land):cat_ruccless urbanized,6.011185032242558,7.138085018102137,2.7637951716518065,0.006423134069013958,3cr.l
s(land):cat_ruccthinly populated,2.0755637091086414,2.609468688103579,1.0441122386437596,0.27804120943737254,3cr.l
s(land):cat_ruccnonmetropolitan-urbanized,1.5404391981229597,1.9279810782328552,1.9647322095879682,0.10960569801834469,3cr.l
s(water),8.985198669752478,8.999766373099362,37.70820644296875,0,3cr.l
s(air),7.536010920305419,8.464030358033362,22.400043463117846,0,3cr.l
s(built),8.508557242957734,8.91500255637886,18.82827266672336,0,3cr.l
s(sociod),8.420215781750098,8.852188578884878,31.83883772557732,0,3cr.l
s(perc_age1849),6.503896801786341,7.6255022917732544,55.78392804341531,0,3cr.l
s(perc_smokers),3.7917074906279513,4.7705400011203505,26.745523940285686,0,3cr.l
s(sociod):cat_ruccmetropolitan-urbanized,7.971463177194318,8.369238401392296,15.236788433936937,0,3cr.s
s(sociod):cat_ruccless urbanized,4.129238916393095,5.082943878743515,28.833597556216795,0,3cr.s
s(sociod):cat_ruccthinly populated,1.0013217511879782,1.0026353030796005,23.007991454537212,1.8815509784109175e-6,3cr.s
s(sociod):cat_ruccnonmetropolitan-urbanized,4.37324593585535,5.251706465928781,22.56647581640377,0,3cr.s
s(water),8.990522211200798,8.999868651836115,36.36283271347058,0,3cr.s
s(air),7.658800969100326,8.541616557879548,22.338046983699694,0,3cr.s
s(land),7.495759904066524,8.418963727867338,23.510281274409106,0,3cr.s
s(built),8.66051558392199,8.954473503973423,22.26458606818624,0,3cr.s
s(perc_age1849),6.081182740924047,7.246742735582612,53.31060371466083,0,3cr.s
s(perc_smokers),3.710411199334464,4.677758863543013,26.919337573210353,0,3cr.s
s(water):cat_ruccmetropolitan-urbanized,8.98553558866587,8.999759229043246,31.808639258610295,0,3cr.w
s(water):cat_ruccless urbanized,2.207622924557831,2.685645067079656,8.578677816417093,4.73383405719674e-5,3cr.w
s(water):cat_ruccthinly populated,1.5620377791193159,1.8926815839036784,0.9111120514464156,0.3137865806386905,3cr.w
s(water):cat_ruccnonmetropolitan-urbanized,1.000260993435414,1.0005213809300209,3.191254908645586,0.07410169242767184,3cr.w
s(air),7.441501066239381,8.403155787611766,22.193301498505537,0,3cr.w
s(land),7.58480726907088,8.478583523353585,22.600796897694234,0,3cr.w
s(built),8.60862669802724,8.944687575255307,19.13718256479088,0,3cr.w
s(sociod),8.503374688024655,8.887593945054824,33.40692578215044,0,3cr.w
s(perc_age1849),6.338209327474391,7.4795226353052335,56.796445589391155,0,3cr.w
s(perc_smokers),3.7412769602195914,4.713757596313153,28.367768013305525,0,3cr.w
